wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,syllabified,lemma
1,1,1,bon,bon,1,Adj,Adj,C/V\,bon
2,1,2,seneschal,seneschal,1,N,N,C/V\.C/e\.'C/V\,sénéchal
3,1,3,de,de,1,Pre,Pre,C/(e)\,de
4,1,4,haynau,haynau,1,N,N,C/V\.'C/V\,Hainaut
5,1,5,",",",",1,Pnc,Pnc,,","
6,1,6,preux,preux,1,Adj,Adj,C/V\,preux
7,1,7,et,et,1,Crd,Crd,/V\,et
8,1,8,sage,sage,1,Adj,Adj,'C/V\.C/(e)\,sage
9,1,9,",",",",1,Pnc,Pnc,,","
10,2,1,vaillant,vaillant,2,Vprs,Vprs,C/V\.'C/V\,valoir
11,2,2,en,en,2,Pre,Pre,/V\,en
12,2,3,fais,fais,2,N,N,C/V\,fait
13,2,4,et,et,2,Crd,Crd,/V\,et
14,2,5,de,de,2,Pre,Pre,C/(e)\,de
15,2,6,gentil,gentil,2,Adj,Adj,C/V\.'C/V\,gentil
16,2,7,lignage,lignage,2,N,N,C/V\.'C/V\.C/(e)\,lignage
17,2,8,",",",",2,Pnc,Pnc,,","
18,3,1,loyal,loyal,3,Adj,Adj,C/V\.'C/V\,loyal
19,3,2,",",",",3,Pnc,Pnc,,","
20,3,3,courtois,courtois,3,Adj,Adj,C/V\.'C/V\,courtois
21,3,4,de,de,3,Pre,Pre,C/(e)\,de
22,3,5,fait,fait,3,N,N,C/V\,fait
23,3,6,et,et,3,Crd,Crd,/V\,et
24,3,7,de,de,3,Pre,Pre,C/(e)\,de
25,3,8,courage,courage,3,N,N,C/V\.'C/V\.C/(e)\,courage
26,3,9,",",",",3,Pnc,Pnc,,","
27,4,1,duit,duit,4,Vpp,Vpp,C/V\,duire
28,4,2,et,et,4,Crd,Crd,/V\,et
29,4,3,appris,appris,4,Vpp,Vpp,/V\.'C/V\,apprendre
30,5,1,de,de,5,Pre,Pre,C/(e)\,de
31,5,2,tous,tous,5,QIs,QIs,C/V\,tout
32,5,3,les,les,5,Det,Det,C/V\,le
33,5,4,biens,biens,5,N,N,C/V\,bien
34,5,5,qui,qui,5,Qux,Qux,C/V\,qui
