"wd_id","line_id","linewd","lex_id","tag","line_id","TT lemma"
1,1,1,"en","PRO:clit",1,"en2_S"
2,1,2,"l","PRO:pers",1,"il_S"
3,1,3,"honeure","VER",1,"onorer_+Z"
4,1,4,"de","PRE",1,"de_+S"
5,1,5,"dieu","NOM",1,"dieu_+CIT"
6,1,6,"tout","PRO:ind",1,"tot_S"
7,1,7,"puissant","ADJ",1,"poissant_+IT"
8,2,1,"et","CON:coord",2,"et_S"
9,2,2,"sa","DET:poss",2,"son4_S"
10,2,3,"mere","NOM",2,"mere_+CIT"
11,2,4,"marie","VER",2,"marïer_+I"
12,2,5,",","PON",2,","
13,2,6,"la","DET:def",2,"le_S"
14,2,7,"royne","NOM",2,"röine1|röine2_*+IdTTd|+Td"
15,2,8,"des","PREDET:de",2,"de+le_S"
16,2,9,"angele","NOM",2,"angele_+IT"
17,2,10,",","PON",2,","
18,3,1,"unc","ADV",3,"onque_+I"
19,3,2,"jeux","NOM",3,"<nolem>"
20,3,3,"vos","PRO:pers",3,"vos1_S"
21,3,4,"veulhe","VER",3,"<unknown>"
22,3,5,"comenchire","VER",3,"<unknown>"
23,4,1,"por","PRE",4,"por2_+S"
24,4,2,"resjoiir","VER",4,"<unknown>"
25,4,3,"la","DET:def",4,"le_S"
26,4,4,"bonne","ADJ",4,"bon_+C"
27,4,5,"compaingnie","NOM",4,"compagnie_+Z"
28,4,6,".","PON",4,"."
29,5,1,"si","ADV",5,"si_+IT"
30,5,2,"vus","PRO:pers",5,"vos1_S"
31,5,3,"prie","VER",5,"priier_+I"
32,5,4,",","PON",5,","
33,5,5,"tresdouche","VER",5,"<unknown>"
34,5,6,"suers","NOM",5,"suer_C"
35,5,7,",","PON",5,","
36,5,8,"humblement","ADV",5,"umblement_*I"
37,5,9,",","PON",5,","
38,6,1,"que","PROCON",6,"que3_S"
39,6,2,"unc","ADV",6,"onque_+I"
40,6,3,"pitit","ADJ",6,"<nolem>"
41,6,4,"de","PRE",6,"de_+S"
42,6,5,"silenche","NOM",6,"<unknown>"
43,7,1,"nos","PRO:pers",7,"nos1_S"
44,7,2,"veulhiés","VER",7,"<unknown>"
45,7,3,"presteir","VER",7,"prester_*Z"
46,7,4,"iusque","ADV",7,"jusque_*I"
47,7,5,"en","PRE",7,"en1_+S"
48,7,6,"la","DET:def",7,"le_S"
49,7,7,"fin","NOM",7,"fin1|fin_+IT|CI"
50,8,1,"et","CON:coord",8,"et_S"
51,8,2,"vos","PRO:pers",8,"vos1_S"
52,8,3,"veireis","VER",8,"<unknown>"
53,8,4,"le","DET:def",8,"le_S"
54,8,5,"jeux","NOM",8,"<nolem>"
55,8,6,"comenchire","VER",8,"<unknown>"
56,8,7,".","PON",8,"."
57,9,1,"heylas","NOM",9,"<unknown>"
58,9,2,"!","PON",9,"!"
59,9,3,"noble","ADJ",9,"noble1|noble_+IT|CI"
60,9,4,"dame","NOM",9,"dam|dame|dan2_+T|+CIT|+T"
61,9,5,"!","PON",9,"!"
62,10,1,"queilque","ADJ",10,"<nolem>"
63,10,2,"chose","NOM",10,"chose_+CIT"
64,10,3,"vos","PRO:pers",10,"vos1_S"
65,10,4,"fault","VER",10,"falir_+M"
66,10,5,",","PON",10,","
67,10,6,"a","PRE",10,"a_S"
68,10,7,"mon","DET:poss",10,"mon1_S"
69,10,8,"semblant","NOM",10,"semblant_+IT"
70,10,9,",","PON",10,","
71,11,1,"car","CON:coord",11,"car_S"
72,11,2,"vos","PRO:pers",11,"vos1_S"
73,11,3,"asteis","VER",11,"estre_M"
74,11,4,"mult","ADV",11,"mout_I"
75,11,5,"belle","ADJ",11,"bel|belet_*I|T"
76,11,6,"et","CON:coord",11,"et_S"
77,11,7,"resplendissant","VER",11,"resplendir_+M"
78,11,8,".","PON",11,"."
79,12,1,"mon","DET:poss",12,"mon1_S"
80,12,2,"pere","NOM",12,"paire|pere1|piere_+T|+T|+T"
81,12,3,",","PON",12,","
82,12,4,"l","DET:def",12,"le_S"
83,12,5,"heure","NOM",12,"ore3_+T"
84,12,6,"est","VER",12,"ester|estre1_+M|+I"
85,12,7,"venue","VER",12,"venir_+I"
86,12,8,"maintenant","ADV",12,"maintenant_+IT"
87,13,1,"que","PROCON",13,"que3_S"
