wd_id,line_id,linewd,word,lex_id,tag,old_wd_id,TT lemma,syntag,syntag2,lemma,textlineid,synfunc,syllabified
1,1,1,ensi,ensi,ADV,24,ainsi_+IT,Adv,Adv,ainsi,103,,/V\.'C/V\
2,1,2,com,com,CON:subord,25,come1_S,Sub,Sub,comme,103,,C/V\
3,1,3,je,je,PRO:pers,26,je_S,Prn,Prn$,1ps,103,s,C/(e)\
4,1,4,vous,vous,PRO:pers,27,vos1_S,Prn,Prn$$,2pp,103,,C/V\
5,1,5,ai,ai,VER,28,aidier|avoir_+Md|+CMI,Vfin,Vfin,avoir1,103,,/V\
6,1,6,conté,conté,VER,29,conter_+I,Vpp,Vpp,conter,103,,C/V\.'C/V\
7,2,1,mandé,mandé,VER,74,mander_+IM,Vpp,Vpp,mander,106,,C/V\.'C/V\
8,2,2,a,a,PRE,75,a_S,Pre,Pre,à,106,,/V\
9,2,3,monsigneur,monsigneur,NOM,76,<unknown>,N,N,,107,,C/V\.C/V\.'C/V\
10,2,4,Tristran,tristran,NPR,77,tristan_Z,N,N,,107,,C/V\.'C/V\
11,3,1,a,a,PRE,95,a_S,Pre,Pre,à,108,,/V\
12,3,2,mot,mot,NOM,96,mot_+CIT,N,N,,108,,C/V\
13,3,3,a,a,PRE,97,a_S,Pre,Pre,à,108,,/V\
14,3,4,toutes,toutes,DET:ind,98,tot_S,QIs,QIs,tout,108,,'C/V\.C/e\
15,3,5,les,les,DET:def,99,le_S,Det,Det,le,108,,C/V\
16,3,6,paroles,paroles,NOM,100,parole_+I,N,N,,108,,C/V\.'C/V\.C/e\
17,4,1,avoit,avoit,VER,146,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,113,,/V\.'C/V\
18,4,2,le,le,DET:def,147,le_S,Det,Det,le,113,,C/(e)\
19,4,3,soir,soir,NOM,148,soir_+IT,N,N,,113,,C/V\
20,4,4,devant,devant,PRE,149,devant_S,PrA,PrA,devant,113,,C/V\.'C/V\
21,4,5,geü,geü,VER,150,jesir_+I,Vpp,Vpp,gésir,113,,C/(V)\.'/V\
22,5,1,A,a,PRE,189,a_S,Pre,Pre,à,117,,/V\
23,5,2,l',l',DET:def,190,le_S,Det,Det,le,117,,C/\
24,5,3,endemain,endemain,NOM,191,endemain|lendemain_+IT|+T,N,N,,117,,/V\.C/e\.'C/V\
25,5,4,",",",",PON,192,",",Pnc,Pnc,,117,,
26,5,5,auques,auques,ADV,193,alques_G,Adv,Adv,auques,117,,'/V\.C/e\
27,5,6,matin,matin,NOM,194,matin2|matin_+IT|I,N,N,,117,,C/V\.'C/V\
28,6,1,avoit,avoit,VER,222,avoiier|avoir_+MI|+MI,Vfin,Vfin,avoir1,119,,/V\.'C/V\
29,6,2,faite,faite,VER,223,faire_+CMI,Vpp,Vpp,faire,119,,'C/V\.C/(e)\
30,6,3,le,le,DET:def,224,le_S,Det,Det,le,120,,C/(e)\
31,6,4,jour,jour,NOM,225,jor_+C,N,N,,120,,C/V\
32,6,5,devant,devant,PRE,226,devant_S,PrA,PrA,devant,120,,C/V\.'C/V\
33,7,1,sa,sa,DET:poss,258,son4_S,Det,Det,son4,122,,C/V\
34,7,2,lance,lance,NOM,259,lance_+IT,N,N,,122,,'C/V\.C/(e)\
35,7,3,tout,tout,PRO:ind,260,tot_S,QIs,QIs,tout,122,,C/V\
36,7,4,apertement,apertement,ADV,261,apertement_I,Adv,Adv,,122,,/V\.C/V\.C/e\.'C/V\
37,8,1,Ha,ha,INT,264,a2|hay!_+T|+T,Exc,Exc,,122,,/V\
