"wd_id","line_id","linewd","word","lex_id","tag","textlineid","TT lemma"
1,1,1,"je","je","PRO:pers",1,"je_S"
2,1,2,",",",","PON",1,","
3,1,3,"noblesce","noblesce","NOM",1,"noblece_+I"
4,1,4,",",",","PON",1,","
5,1,5,"dame","dame","NOM",1,"dam|dame|dan2_+T|+CIT|+T"
6,1,6,"de","de","PRE",1,"de_+S"
7,1,7,"bon","bon","ADJ",1,"bon_+CIT"
8,1,8,"vouloir","vouloir","VER",1,"voloir_*+IT"
9,1,9,",",",","PON",1,","
10,2,1,"royne","royne","NOM",2,"röine1|röine2_+IdTTd|+Td"
11,2,2,"des","des","PREDET:de",2,"de+le_S"
12,2,3,"preux","preux","ADJ",2,"<nolem>"
13,2,4,",",",","PON",2,","
14,2,5,"princesse","princesse","NOM",2,"princesse_+T"
15,2,6,"des","des","PREDET:de",2,"de+le_S"
16,2,7,"haulx","haulx","NOM",2,"<unknown>"
17,2,8,"faiz","faiz","VER",2,"faire|feire_+CMI|M"
18,2,9,",",",","PON",2,","
19,3,1,"a","a","PRE",3,"a_S"
20,3,2,"tous","tous","PRO:ind",3,"tot_S"
21,3,3,"qui","qui","PROCON",3,"qui_S"
22,3,4,"ont","ont","VER",3,"avoir|devoir_+CIM|+M"
23,3,5,"volenté","volenté","NOM",3,"volenté_+IT"
24,3,6,"de","de","PRE",3,"de_+S"
25,3,7,"valoir","valoir","VER",3,"valoir_+MIT"
26,4,1,"paix","paix","NOM",4,"pais_+Z"
27,4,2,"et","et","CON:coord",4,"et_S"
28,4,3,"salut","salut","NOM",4,"salu_+CT"
29,4,4,"par","par","PRE",4,"par_S"
30,4,5,"moy","moy","PRO:pers",4,"je_S"
31,4,6,"savoir","savoir","VER",4,"savoir_+MIT"
32,4,7,"vous","vous","PRO:pers",4,"vos1_S"
33,4,8,"faiz","faiz","VER",4,"faire|feire_+CMI|M"
34,4,9,".",".","PON",4,"."
35,5,1,"que","que","PROCON",5,"que3_S"
36,5,2,",",",","PON",5,","
37,5,3,"pour","pour","PRE",5,"por2_+S"
38,5,4,"oster","oster","VER",5,"oster1|oster2_+T|+IT"
39,5,5,"les","les","DET:def",5,"le_S"
40,5,6,"maulx","maulx","NOM",5,"<nolem>"
41,5,7,"et","et","CON:coord",5,"et_S"
42,5,8,"les","les","DET:def",5,"le_S"
43,5,9,"torfaiz","torfaiz","GDF",5,"torfait_G"
44,6,1,"que","que","PROCON",6,"que3_S"
45,6,2,"vilennie","vilennie","NOM",6,"vilenie_*+IT"
46,6,3,"a","a","PRE",6,"a_S"
47,6,4,"entreprins","entreprins","VER",6,"prendre_+M"
48,6,5,"de","de","PRE",6,"de_+S"
49,6,6,"faire","faire","VER",6,"faire_+MIT"
50,6,7,",",",","PON",6,","
51,7,1,"chascun","chascun","PRO:ind",7,"chascun_S"
52,7,2,"de","de","PRE",7,"de_+S"
53,7,3,"vous","vous","PRO:pers",7,"vos1_S"
54,7,4,"s'","s'","PRO:pers",7,"soi1_S"
55,7,5,"il","il","PRO:pers",7,"il_S"
56,7,6,"veult","veult","VER",7,"vëoir_*+IdMMd"
57,7,7,"estre","estre","VER",7,"entr'estre|estre1_+M|+IT"
58,7,8,"refaiz","refaiz","VER",7,"refaire_M"
59,8,1,"ses","ses","DET:poss",8,"son4_S"
60,8,2,"heures","heures","NOM",8,"ore3_*+T"
61,8,3,"die","die","VER",8,"dire_+MIIdMd"
62,8,4,"en","en","PRE",8,"en1_+S"
63,8,5,"cestui","cestui","DET:demo",8,"cest_S"
64,8,6,"breviaire","breviaire","NOM",8,"brevïaire_+Td"
65,8,7,"!","!","PON",8,"!"
66,9,1,"je","je","PRO:pers",9,"je_S"
67,9,2,"me","me","PRO:pers",9,"je_S"
68,9,3,"doy","doy","VER",9,"devoir_+IM"
69,9,4,"bien","bien","ADV",9,"bien1|bien2|bien_+IT|C|I"
70,9,5,"de","de","PRE",9,"de_+S"
71,9,6,"plusieurs","plusieurs","DET:ind",9,"plusor_S"
72,9,7,"gens","gens","NOM",9,"gent1|giens_+I|+T"
73,9,8,"douloir","douloir","VER",9,"doloir|douloir_+M|M"
74,10,1,"qui","qui","PROCON",10,"qui_S"
75,10,2,"ont","ont","VER",10,"avoir|devoir_+CIM|+M"
76,10,3,"du","du","PREDET:de",10,"de+le_S"
77,10,4,"tout","tout","PRO:ind",10,"tot_S"
78,10,5,"mes","mes","DET:poss",10,"mon1_S"
79,10,6,"estaz","estaz","NOM",10,"esta_*+T"
80,10,7,"contrefaiz","contrefaiz","VER",10,"<unknown>"
81,10,8,",",",","PON",10,","
82,11,1,"et","et","CON:coord",11,"et_S"
83,11,2,"en","en","PRE",11,"en1_+S"
84,11,3,"mettant","mettant","GDF",11,"metre1_G"
85,11,4,"vertu","vertu","NOM",11,"vertu_+CIT"
86,11,5,"en","en","PRE",11,"en1_+S"
87,11,6,"nonchaloir","nonchaloir","NOM",11,"nonchaloir_I"
88,11,7,",",",","PON",11,","
89,12,1,"prennent","prennent","VER",12,"prendre_+M"
90,12,2,"mon","mon","DET:poss",12,"mon1_S"
91,12,3,"nom","nom","NOM",12,"nom_+CIT"
92,12,4,"et","et","CON:coord",12,"et_S"
93,12,5,"laissent","laissent","VER",12,"laissier_+IM"
94,12,6,"mes","mes","DET:poss",12,"mon1_S"
95,12,7,"bienffaiz","bienffaiz","NOM",12,"<unknown>"
96,12,8,",",",","PON",12,","
97,13,1,"et","et","CON:coord",13,"et_S"
98,13,2,"ont","ont","VER",13,"avoir|devoir_+CIM|+M"
99,13,3,"leurs","leurs","DET:poss",13,"lor2_S"
100,13,4,"cuers","cuers","NOM",13,"cuer2|cuer_+I|I"
101,13,5,"avilez","avilez","VER",13,"aviler|avillier_+M|+M"
102,13,6,"et","et","CON:coord",13,"et_S"
103,13,7,"deffaiz","deffaiz","VER",13,"<nolem>"
104,14,1,"et","et","CON:coord",14,"et_S"
105,14,2,"enclinez","enclinez","VER",14,"encliner_*+I"
106,14,3,"a","a","PRE",14,"a_S"
107,14,4,"mesdire","mesdire","VER",14,"dire|mesdire_+M|+IT"
108,14,5,"et","et","CON:coord",14,"et_S"
109,14,6,"meffaire","meffaire","VER",14,"mesfaire_+T"
110,14,7,";",";","PON",14,";"
111,15,1,"mais","mais","CON:coord",15,"mais_S"
112,15,2,"qui","qui","PROCON",15,"qui_S"
113,15,3,"vouldra","vouldra","VER",15,"<unknown>"
114,15,4,"pardon","pardon","NOM",15,"pardon_+IT"
115,15,5,"de","de","PRE",15,"de_+S"
116,15,6,"ses","ses","DET:poss",15,"son4_S"
117,15,7,"meffaiz","meffaiz","NOM",15,"mesfait_+Z"
118,15,8,",",",","PON",15,","
119,16,1,"ses","ses","DET:poss",16,"son4_S"
120,16,2,"heures","heures","NOM",16,"ore3_*+T"
121,16,3,"die","die","VER",16,"dire_+MIIdMd"
122,16,4,"en","en","PRE",16,"en1_+S"
123,16,5,"cestui","cestui","DET:demo",16,"cest_S"
124,16,6,"breviaire","breviaire","NOM",16,"brevïaire_+Td"
125,16,7,".",".","PON",16,"."
126,17,1,"qui","qui","PROCON",17,"qui_S"
127,17,2,"est","est","VER",17,"ester|estre1_+M|+I"
128,17,3,"des","des","PREDET:de",17,"de+le_S"
129,17,4,"bons","bons","ADJ",17,"bon_+CI"
130,17,5,"le","le","DET:def",17,"le_S"
131,17,6,"successeur","successeur","NOM",17,"successor_+C"
132,17,7,"ou","ou","PRE",17,"o4_+S"
133,17,8,"l'","l'","DET:def",17,"le_S"
134,17,9,"oir","oir","NOM",17,"oir_+IT"
135,18,1,"ne","ne","PRO:clit",18,"en2_S"
136,18,2,"doit","doit","VER",18,"devoir|dire_+CMI|+M"
137,18,3,"avoir","avoir","VER",18,"avoir_+MIT"
138,18,4,"la","la","DET:def",18,"le_S"
139,18,5,"terre","terre","NOM",18,"terre_+CIT"
140,18,6,"sans","sans","PRE",18,"sans_+S"
141,18,7,"le","le","DET:def",18,"le_S"
142,18,8,"faiz","faiz","NOM",18,"fait_C"
143,18,9,",",",","PON",18,","
144,19,1,"et","et","CON:coord",19,"et_S"
145,19,2,"s'","s'","PRO:pers",19,"soi1_S"
146,19,3,"il","il","PRO:pers",19,"il_S"
147,19,4,"n'","n'","PRO:clit",19,"en2_S"
148,19,5,"est","est","VER",19,"ester|estre1_+M|+I"
149,19,6,"duit","duit","VER",19,"devoir|duire_+M|+I"
150,19,7,"a","a","PRE",19,"a_S"
151,19,8,"bien","bien","ADV",19,"bien1|bien2|bien_+IT|C|I"
152,19,9,"faire","faire","VER",19,"faire_+MIT"
153,19,10,"et","et","CON:coord",19,"et_S"
154,19,11,"vouloir","vouloir","VER",19,"voloir_*+IT"
155,19,12,",",",","PON",19,","
156,20,1,"les","les","DET:def",20,"le_S"
157,20,2,"biens","biens","NOM",20,"bien2|bien_+I|CI"
158,20,3,"d'","d'","PRE",20,"de_+S"
159,20,4,"autruy","autruy","PRO:invar",20,"autrui_S"
160,20,5,"sont","sont","VER",20,"estre1|estre_+I|CMI"
161,20,6,"en","en","PRO:clit",20,"en2_S"
162,20,7,"lui","lui","PRO:pers",20,"il|loi1_S|S"
163,20,8,"imparfaiz","imparfaiz","VER",20,"<unknown>"
164,20,9,";",";","PON",20,";"
165,21,1,"ains","ains","ADV",21,"ainc|ains3_+T|G"
166,21,2,"a","a","VER",21,"avoir_+CMI"
167,21,3,"du","du","PREDET:de",21,"de+le_S"
168,21,4,"tout","tout","PRO:ind",21,"tot_S"
169,21,5,"los","los","NOM",21,"los1|los2|lou_+IT|+T|+I"
170,21,6,"et","et","CON:coord",21,"et_S"
171,21,7,"honneur","honneur","NOM",21,"onor_*+IT"
172,21,8,"forfaiz","forfaiz","VER",21,"faire|forfaire_+M|+M"
173,22,1,"quant","quant","ADV",22,"cant_C"
174,22,2,"il","il","PRO:pers",22,"il_S"
175,22,3,"n'","n'","PRO:clit",22,"en2_S"
176,22,4,"ensuit","ensuit","VER",22,"sivre_+M"
177,22,5,"des","des","PREDET:de",22,"de+le_S"
178,22,6,"nobles","nobles","ADJ",22,"noble1|noble_+I|CI"
179,22,7,"l'","l'","DET:def",22,"le_S"
180,22,8,"exemplaire","exemplaire","NOM",22,"<nolem>"
181,22,9,",",",","PON",22,","
182,23,1,"et","et","CON:coord",23,"et_S"
183,23,2,"s'","s'","PRO:pers",23,"soi1_S"
184,23,3,"aucun","aucun","DET:ind",23,"aucun_S"
185,23,4,"s'","s'","DET:poss",23,"son4_S"
186,23,5,"est","est","VER",23,"ester|estre1_+M|+I"
187,23,6,"en","en","PRE",23,"en1_+S"
188,23,7,"cest","cest","DET:demo",23,"cest_S"
189,23,8,"endroit","endroit","NOM",23,"endroit_Z"
190,23,9,"meffaiz","meffaiz","VER",23,"<nolem>"
191,23,10,",",",","PON",23,","
192,24,1,"ses","ses","DET:poss",24,"son4_S"
193,24,2,"heures","heures","NOM",24,"ore3_*+T"
194,24,3,"die","die","VER",24,"dire_+MIIdMd"
195,24,4,"en","en","PRE",24,"en1_+S"
196,24,5,"cestui","cestui","DET:demo",24,"cest_S"
197,24,6,"breviaire","breviaire","NOM",24,"brevïaire_+Td"
198,24,7,".",".","PON",24,"."
199,25,1,"pour","pour","PRE",25,"por2_+S"
200,25,2,"entendre","entendre","VER",25,"entendre_+MIT"
201,25,3,"comme","comme","VER",25,"commer_M"
202,25,4,"nobles","nobles","NPR",25,"noblon_Z"
203,25,5,"sont","sont","VER",25,"estre1|estre_+I|CMI"
204,25,6,"faiz","faiz","VER",25,"faire|feire_+CMI|M"
205,26,1,"douze","douze","ADJ:card",26,"doze_CI"
206,26,2,"vertuz","vertuz","NOM",26,"vertu_+I"
207,26,3,"monstrent","monstrent","VER",26,"mostrer_*+T"
208,26,4,"cy","cy","ADV",26,"ci_+CIT"
209,26,5,"leur","leur","DET:poss",26,"lor2_S"
210,26,6,"affaire","affaire","NOM",26,"afaire_G"
211,26,7,";",";","PON",26,";"
212,27,1,"doncques","doncques","ADV",27,"donc_Z"
213,27,2,"qui","qui","PROCON",27,"qui_S"
214,27,3,"veult","veult","VER",27,"vëoir_*+IdMMd"
215,27,4,"estre","estre","VER",27,"entr'estre|estre1_+M|+IT"
216,27,5,"noble","noble","ADJ",27,"noble1|noble_+IT|CI"
217,27,6,"parfaiz","parfaiz","VER",27,"parfaire_+Z"
218,28,1,"ses","ses","DET:poss",28,"son4_S"
219,28,2,"heures","heures","NOM",28,"ore3_*+T"
220,28,3,"die","die","VER",28,"dire_+MIIdMd"
221,28,4,"en","en","PRE",28,"en1_+S"
222,28,5,"cestui","cestui","DET:demo",28,"cest_S"
223,28,6,"breviaire","breviaire","NOM",28,"brevïaire_+Td"
224,28,7,".",".","PON",28,"."
225,29,1,"dieu","dieu","NOM",29,"dieu_+CIT"
226,29,2,"tout","tout","PRO:ind",29,"tot_S"
227,29,3,"puissant","puissant","ADJ",29,"poissant_+IT"
228,29,4,",",",","PON",29,","
229,29,5,"de","de","PRE",29,"de_+S"
230,29,6,"qui","qui","PROCON",29,"qui_S"
231,29,7,"noblesce","noblesce","NOM",29,"noblece_+I"
232,29,8,"vient","vient","VER",29,"venir_+I"
233,30,1,"et","et","CON:coord",30,"et_S"
234,30,2,"dont","dont","PRO:invar",30,"dont_S"
235,30,3,"descent","descent","VER",30,"descendre_+CI"
236,30,4,"toute","toute","DET:ind",30,"tot_S"
237,30,5,"perfeccion","perfeccion","NOM",30,"perfeccïon_+T"
238,30,6,",",",","PON",30,","
239,31,1,"a","a","PRE",31,"a_S"
240,31,2,"tout","tout","PRO:ind",31,"tot_S"
241,31,3,"creé","creé","VER",31,"<unknown>"
242,31,4,",",",","PON",31,","
243,31,5,"tout","tout","PRO:ind",31,"tot_S"
244,31,6,"nourrit","nourrit","VER",31,"norrir_*+M"
245,31,7,",",",","PON",31,","
246,31,8,"tout","tout","PRO:ind",31,"tot_S"
247,31,9,"soustient","soustient","VER",31,"sostenir_*+I"
248,32,1,"par","par","PRE",32,"par_S"
249,32,2,"sa","sa","DET:poss",32,"son4_S"
250,32,3,"haulte","haulte","ADJ",32,"haut_+Z"
251,32,4,"digne","digne","ADJ",32,"digne_+T"
252,32,5,"provision","provision","NOM",32,"provisïon_+T"
253,32,6,";",";","PON",32,";"
254,33,1,"mais","mais","CON:coord",33,"mais_S"
255,33,2,",",",","PON",33,","
256,33,3,"pour","pour","PRE",33,"por2_+S"
257,33,4,"tenir","tenir","VER",33,"tenir1|tenir|tenoir_+T|MI|M"
258,33,5,"la","la","DET:def",33,"le_S"
259,33,6,"terre","terre","NOM",33,"terre_+CIT"
260,33,7,"en","en","PRE",33,"en1_+S"
261,33,8,"union","union","NOM",33,"unïon_+T"
262,33,9,",",",","PON",33,","
263,34,1,"a","a","PRE",34,"a_S"
264,34,2,"ordonné","ordonné","VER",34,"ordener_*+M"
265,34,3,"chascun","chascun","PRO:ind",34,"chascun_S"
266,34,4,"en","en","PRE",34,"en1_+S"
267,34,5,"son","son","DET:poss",34,"son4_S"
268,34,6,"office","office","NOM",34,"ofice_*+T"
269,34,7,":",":","PON",34,":"
270,35,1,"ly","ly","DET:def",35,"le_S"
271,35,2,"un","un","DET:ndf",35,"un_S"
272,35,3,"seigneur","seigneur","NOM",35,"seignor_+CI"
273,35,4,",",",","PON",35,","
274,35,5,"l'","l'","DET:def",35,"le_S"
275,35,6,"autre","autre","ADJ",35,"autre_CIId"
276,35,7,"en","en","PRE",35,"en1_+S"
277,35,8,"subjection","subjection","NOM",35,"subjectïon_+T"
278,36,1,"pour","pour","PRE",36,"por2_+S"
279,36,2,"foy","foy","NOM",36,"foi_+CIT"
280,36,3,"garder","garder","VER",36,"garder_+MIT"
281,36,4,"et","et","CON:coord",36,"et_S"
282,36,5,"pour","pour","PRE",36,"por2_+S"
283,36,6,"vivre","vivre","VER",36,"vivre1|vivre_+IT|MI"
284,36,7,"en","en","PRE",36,"en1_+S"
285,36,8,"justice","justice","NOM",36,"justice|justise_+CIT|+T"
286,36,9,".",".","PON",36,"."
287,37,1,"et","et","CON:coord",37,"et_S"
288,37,2,"qui","qui","PROCON",37,"qui_S"
289,37,3,"de","de","PRE",37,"de_+S"
290,37,4,"dieu","dieu","NOM",37,"dieu_+CIT"
291,37,5,"le","le","DET:def",37,"le_S"
292,37,6,"plus","plus","ADV",37,"plus_CI"
293,37,7,"hault","hault","ADJ",37,"haut_+Z"
294,37,8,"honneur","honneur","NOM",37,"onor_*+IT"
295,37,9,"tient","tient","VER",37,"tenir_CMI"
296,38,1,"par","par","PRE",38,"par_S"
297,38,2,"seigneurie","seigneurie","NOM",38,"<nolem>"
298,38,3,"ou","ou","PREDET:en",38,"en1+le_S"
299,38,4,"dominacion","dominacion","NOM",38,"dominacïon_+T"
300,38,5,",",",","PON",38,","
301,39,1,"plus","plus","ADV",39,"plus_CI"
302,39,2,"est","est","VER",39,"ester|estre1_+M|+I"
303,39,3,"tenu","tenu","VER",39,"tenir_CMI"
304,39,4,"et","et","CON:coord",39,"et_S"
305,39,5,"plus","plus","ADV",39,"plus_CI"
306,39,6,"lui","lui","PRO:pers",39,"il|loi1_S|S"
307,39,7,"appartient","appartient","VER",39,"apartenir|tenir_*+C|M"
308,40,1,"d'","d'","PRE",40,"de_+S"
309,40,2,"avoir","avoir","VER",40,"avoir_+MIT"
310,40,3,"en","en","PRE",40,"en1_+S"
311,40,4,"lui","lui","PRO:pers",40,"il|loi1_S|S"
312,40,5,"entiere","entiere","ADJ",40,"entier_*+I"
313,40,6,"affection","affection","NOM",40,"<unknown>"
314,40,7,",",",","PON",40,","
315,41,1,"crainte","crainte","NOM",41,"crainte_+T"
316,41,2,"et","et","CON:coord",41,"et_S"
317,41,3,"honneur","honneur","NOM",41,"onor_*+IT"
318,41,4,",",",","PON",41,","
319,41,5,"bonne","bonne","ADJ",41,"bon_+C"
320,41,6,"devocion","devocion","NOM",41,"devocïon_+IT"
321,42,1,"et","et","CON:coord",42,"et_S"
322,42,2,"vergoigne","vergoigne","NOM",42,"vergoigne_+IT"
323,42,3,"de","de","PRE",42,"de_+S"
324,42,4,"meffait","meffait","NOM",42,"mesfait_+T"
325,42,5,"et","et","CON:coord",42,"et_S"
326,42,6,"de","de","PRE",42,"de_+S"
327,42,7,"vice","vice","NOM",42,"vice1|vice_+T|I"
328,42,8,",",",","PON",42,","
329,43,1,"et","et","CON:coord",43,"et_S"
330,43,2,"faire","faire","VER",43,"faire_+MIT"
331,43,3,"tout","tout","PRO:ind",43,"tot_S"
332,43,4,"en","en","PRE",43,"en1_+S"
333,43,5,"bonne","bonne","ADJ",43,"bon_+C"
334,43,6,"entencion","entencion","NOM",43,"entencïon|intencïon_+IT|+T"
335,44,1,"pour","pour","PRE",44,"por2_+S"
336,44,2,"foy","foy","NOM",44,"foi_+CIT"
337,44,3,"garder","garder","VER",44,"garder_+MIT"
338,44,4,"et","et","CON:coord",44,"et_S"
339,44,5,"pour","pour","PRE",44,"por2_+S"
340,44,6,"vivre","vivre","VER",44,"vivre1|vivre_+IT|MI"
341,44,7,"en","en","PRE",44,"en1_+S"
342,44,8,"justice","justice","NOM",44,"justice|justise_+CIT|+T"
343,44,9,".",".","PON",44,"."
344,45,1,"cil","cil","PRO:demo",45,"cel_S"
345,45,2,"est","est","VER",45,"ester|estre1_+M|+I"
346,45,3,"nobles","nobles","ADJ",45,"noble1|noble_+I|CI"
347,45,4,"et","et","CON:coord",45,"et_S"
