wd_id,line_id,linewd,word,lex_id,textlineid,syntag,syntag2,lemma,syllabified,pos,lemma_ofl,lemma_score,Vorschlag_IR,Erklärung_IR
1,1,1,paix,paix,1,N,N,,C/V\,NOUN,paix,8,,
2,1,2,soit,soit,1,Vfin,Vfin,être,C/V\,VERB,être,10,,
3,1,3,a,a,1,Pre,Pre,à,/V\,ADP,à,10,,
4,1,4,celle,celle,1,Dem,Dem,cil,'C/V\.C/(e)\,DET,cil,10,,
5,1,5,compaignie,compaignie,1,N,N,,C/V\.C/V\.'C/V\./(e)\,NOUN,compagnie,8,,
6,1,6,!,!,1,Pnc,Pnc,,,PUNCT,!,9,,
7,2,1,et,et,2,Crd,Crd,et,/V\,CCONJ,et,10,,
8,2,2,la,la,2,Det,Det,le,C/V\,DET,le,10,,
9,2,3,douce,douce,2,Adj,Adj,doux,'C/V\.C/(e)\,ADJ,doux,10,,
10,2,4,vierge,vierge,2,N,N,,'C/V\.C/(e)\,NOUN,vierge,3,,
11,2,5,marie,marie,2,N,N,,C/V\.'C/V\./(e)\,PROPN|NOUN,marié|Marie,-1,marier,DMF
12,3,1,en,en,3,Pre,Pre,en,/V\,ADP,en,10,,
13,3,2,qui,qui,3,Qux,Qux,qui,C/V\,PRON,qui,10,,
14,3,3,jhesu,jhesu,3,N,N,,C/V\.'C/V\,PROPN,Jésus,8,,
15,3,4,prist,prist,3,Vfin,Vfin,prendre,C/V\,VERB,prendre,10,,
16,3,5,chair,chair,3,Vinf,Vinf,choir,C/V\,VERB,choir,10,,
17,3,6,humaine,humaine,3,Adj,Adj,,/V\.'C/V\.C/(e)\,ADJ,humain,9,,
18,3,7,",",",",3,Pnc,Pnc,,,PUNCT,",",9,,
19,4,1,qui,qui,4,Qux,Qux,qui,C/V\,PRON,qui,10,,
20,4,2,des,des,4,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
21,4,3,dames,dames,4,N,N,,'C/V\.C/e\,NOUN,dame,3,,
22,4,4,est,est,4,Vfin,Vfin,être,/V\,VERB,être,10,,
23,4,5,souveraine,souveraine,4,Adj,Adj,,C/V\.C/e\.'C/V\.C/(e)\,ADJ,souverain,9,,
24,4,6,",",",",4,Pnc,Pnc,,,PUNCT,",",9,,
25,5,1,vueille,vueille,5,Vfin,Vfin,vouloir,'C/V\.C/(e)\,VERB,vouloir,10,,
26,5,2,tous,tous,5,QIs,QIs,tout,C/V\,DET,tout,10,,
27,5,3,ceulz,ceulz,5,Dem,Dem,cil,C/V\,PRON,cil,10,,
28,5,4,de,de,5,Pre,Pre,de,C/(e)\,ADP,de,10,,
29,5,5,mal,mal,5,N,N,mal,C/V\,NOUN,mal,10,,
30,5,6,garder,garder,5,Vinf,Vinf,garder,C/V\.'C/V\,VERB,garder,10,,
31,6,1,qui,qui,6,Qux,Qux,qui,C/V\,PRON,qui,10,,
32,6,2,en,en,6,Pre,Pre,en,/V\,ADP,en,10,,
33,6,3,paix,paix,6,N,N,,C/V\,NOUN,paix,8,,
34,6,4,veuldront,veuldront,6,Vfin,Vfin,vouloir,C/V\.'C/V\,VERB,vouloir,10,,
35,6,5,regarder,regarder,6,Vinf,Vinf,regarder,C/V\.C/V\.'C/V\,VERB,regarder,10,,
36,7,1,d',d',7,Pre,Pre,de,C/\,ADP,de,10,,
37,7,2,une,une,7,QIs,QIs,un,'/V\.C/(e)\,DET,un,10,,
38,7,3,dame,dame,7,N,N,,'C/V\.C/(e)\,NOUN,dame,8,,
39,7,4,la,la,7,Det,Det,le,C/V\,DET,le,10,,
40,7,5,vraye,vraye,7,Adj,Adj,vrai,'C/V\./(e)\,ADJ,vrai,10,,
41,7,6,hystoire,hystoire,7,N,N,,/V\.'C/V\.C/(e)\,NOUN,histoire,9,,
42,7,7,",",",",7,Pnc,Pnc,,,PUNCT,",",9,,
43,8,1,qui,qui,8,Qux,Qux,qui,C/V\,PRON,qui,10,,
44,8,2,tant,tant,8,QIs,QIs,tant,C/V\,ADV,tant,10,,
45,8,3,est,est,8,Vfin,Vfin,être,/V\,VERB,être,10,,
46,8,4,digne,digne,8,Adj,Adj,,'C/V\.C/(e)\,ADJ,digne,8,,
47,8,5,de,de,8,Pre,Pre,de,C/(e)\,ADP,de,10,,
48,8,6,memoire,memoire,8,N,N,,C/V\.'C/V\.C/(e)\,NOUN,mémoire,8,,
49,8,7,",",",",8,Pnc,Pnc,,,PUNCT,",",9,,
50,9,1,que,que,9,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
51,9,2,ses,ses,9,Det,Det,son4,C/V\,DET,son,10,,
52,9,3,euvres,euvres,9,N,N,,'/V\.C/e\,NOUN,oeuvre,8,,
53,9,4,sont,sont,9,Vfin,Vfin,être,C/V\,VERB,être,10,,
54,9,5,appellees,appellees,9,Vpp,Vpp,appeler,/V\.C/e\.'C/V\./e\,VERB,appeler,10,,
55,10,1,"""","""",10,Pnc,Pnc,,,PUNCT,"""",9,,
56,10,2,miroir,miroir,10,N,N,,C/V\.'C/V\,NOUN,miroir,9,,
57,10,3,des,des,10,Pre+Det,Pre+Det,de.le,C/V\,ADP.DET,de.le,10,,
58,10,4,dames,dames,10,N,N,,'C/V\.C/e\,NOUN,dame,3,,
59,10,5,mariees,mariees,10,Vpp,Vpp,marier,C/V\.C/V\.'C/V\./e\,VERB,marier,10,,
60,10,6,"""","""",10,Pnc,Pnc,,,PUNCT,"""",9,,
61,10,7,",",",",10,Pnc,Pnc,,,PUNCT,",",9,,
62,11,1,que,que,11,Qux,Qux,que,C/(e)\,PRON,que,10,,
63,11,2,j',j',11,Prn,Prn$,je,C/\,PRON,je,10,,
64,11,3,ay,ay,11,Vfin,Vfin,avoir,/V\,VERB,avoir,10,,
65,11,4,emprises,emprises,11,Vpp,Vpp,emprendre,/V\.'C/V\.C/e\,VERB,emprendre,10,,
66,11,5,a,a,11,Pre,Pre,à,/V\,ADP,à,10,,
67,11,6,rigmer,rigmer,11,Vinf,Vinf,,C/V\.'C/V\,VERB,rimer,6,,
68,12,1,affin,affin,12,Adv,Adv,afin,/V\.'C/V\,ADV,afin,10,,
69,12,2,que,que,12,Sub,Sub,que,C/(e)\,SCONJ,que,10,,
